player,team,yahoo,espn,fantrax,average
Walker Kessler,UTA,58.7,75.4,63.8,66.0
Walter Clayton Jr.,UTA,,135.1,357.1,246.1
Wang Zhelin,FA,,180.0,,180.0
Wendell Carter Jr.,ORL,,139.8,143.8,141.8
Yves Missi,NO,145.0,139.8,130.6,138.5
Zaccharie Risacher,ATL,143.0,138.7,146.8,142.8
Zach Collins,CHI,,140.0,379.5,259.8
Zach Edey,MEM,108.7,138.9,123.1,123.6
Zach LaVine,SAC,59.7,69.2,54.3,61.1
Ziaire Williams,BKN,,140.0,1092.0,616.0
Zion Williamson,NO,51.3,54.8,62.1,56.1
